Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Hades,2019-12-10,113112,15,95,co39vc
2,Hollow Knight,2017-02-24,14593,14,145,co1rgi
3,Stardew Valley,2016-02-26,17000,13,386,xrpmydnu9rpxvxfjkiu7
4,Cuphead,2017-09-29,9061,12,600,co62ao
5,Celeste,2018-01-25,26226,11,144,co3byy
6,Undertale,2015-09-15,12517,10,413,co2855
7,Inside,2016-06-29,7342,9,629,co2fca
8,Disco Elysium,2019-10-15,26472,8,185,co1sfj
9,Hotline Miami,2012-10-23,1384,7,634,co1vqp
10,Moonlighter,2018-05-29,27771,6,1825,co1vck
