Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Cuphead,2017-09-29,9061,15,600,co62ao
2,Undertale,2015-09-15,12517,14,413,co2855
3,Journey,2012-03-13,1352,13,332,co1q8q
4,Disco Elysium,2019-10-15,26472,12,185,co1sfj
5,Limbo,2010-07-21,1331,11,635,co1qrs
6,Stardew Valley,2016-02-26,17000,10,386,xrpmydnu9rpxvxfjkiu7
7,Hollow Knight,2017-02-24,14593,9,145,co1rgi
8,Minecraft,2011-11-18,121,8,201,co49x5
9,Among Us,2018-06-15,111469,7,762,co45rg
10,Overcooked!,2016-08-03,18433,6,1824,co262g
11,Hotline Miami,2012-10-23,1384,5,634,co1vqp
