Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Binding of Isaac: Rebirth,2014-11-04,7789,15,650,co1lbm
2,Furi,2016-07-05,17026,14,638,co27q3
3,Braid,2008-08-06,2853,13,630,co25ni
4,SuperHot,2016-02-25,7205,12,651,co2656
5,Rise & Shine,2017-01-13,6732,11,652,fxh5b0rjydf4ldfng8ze
6,Hotline Miami,2012-10-23,1384,10,634,co1vqp
7,To the Moon,2011-11-01,5025,9,653,co25yv
8,Rogue Legacy,2013-06-27,3221,8,621,co27fi
9,Firewatch,2016-02-09,9730,7,648,co1m35
10,Nidhogg,2014-01-13,5551,6,654,co1n39
11,Super Meat Boy,2010-10-20,885,5,647,co276m
12,Bastion,2011-07-20,1983,4,655,co1qlj
13,This War of Mine,2014-11-14,7706,3,656,co3ans
14,The Stanley Parable,2013-10-17,3035,2,643,co1rc9
15,Enter the Gungeon,2016-04-05,11182,1,623,co1rdg
