Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Braid,2008-08-06,2853,15,630,co25ni
2,Limbo,2010-07-21,1331,14,635,co1qrs
3,Minecraft,2011-11-18,121,13,201,co49x5
4,Fez,2012-04-13,1991,12,644,co1rd9
5,Journey,2012-03-13,1352,11,332,co1q8q
6,Hotline Miami,2012-10-23,1384,10,634,co1vqp
7,Papers, Please,2013-08-08,2935,9,645,co1vep
8,Gone Home,2013-08-15,1906,8,785,qwhxxrcxzw7inwfrfkbq
9,Shovel Knight,2014-06-26,7444,7,528,co1p9i
10,Undertale,2015-09-15,12517,6,413,co2855
11,Firewatch,2016-02-09,9730,5,648,co1m35
12,Inside,2016-06-29,7342,4,629,co2fca
13,A Night in the Woods,2014-02-08,128760,3,637,co58d7
14,Cuphead,2017-09-29,9061,2,600,co62ao
15,Celeste,2018-01-25,26226,1,144,co3byy
