Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Ori and the Will of the Wisps,2020-03-10,37001,15,369,co2e1l
2,Ori and the Blind Forest,2015-03-11,7344,14,657,co1y41
3,Inside,2016-06-29,7342,13,629,co2fca
4,Shovel Knight,2014-06-26,7444,12,528,co1p9i
5,Dead Cells,2018-08-06,26855,11,619,co5vwu
6,Disco Elysium,2019-10-15,26472,10,185,co1sfj
7,Stray,2022-07-19,110248,9,272,co4tt2
8,Runner2: Future Legend of Rhythm Alien,2013-02-26,5592,8,658,co3wi1
9,Thumper,2016-10-10,10960,7,181,co1z4e
10,FAR: Changing Tides,2022-03-01,152259,6,659,co39qz
11,FAR: Lone Sails,2018-05-17,19520,5,660,co27qa
12,Dusk,2018-12-10,25260,4,661,co4b39
13,Celeste,2018-01-25,26226,3,144,co3byy
14,Teslagrad,2013-12-13,7641,2,662,co2iqf
15,Owlboy,2016-11-01,12597,1,663,co1nc2
