Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Blasphemous,2019-09-10,26820,15,1954,co2eyn
2,Hades,2019-12-10,113112,14,95,co39vc
3,Transistor,2014-05-20,3022,13,1955,co1pi1
4,Bastion,2011-07-20,1983,12,655,co1qlj
5,Ori and the Blind Forest,2015-03-11,7344,11,657,co1y41
6,Streets of Rage 4,2020-04-30,107262,10,1956,co2dru
7,Hollow Knight,2017-02-24,14593,9,145,co1rgi
8,Baba is You,2019-03-13,76638,8,1049,co2hqt
9,Cuphead,2017-09-29,9061,7,600,co62ao
10,The Talos Principle,2014-12-11,7386,6,1251,co1rb5
11,Cris Tales,2021-07-19,119349,5,1957,co2efa
12,Stardew Valley,2016-02-26,17000,4,386,xrpmydnu9rpxvxfjkiu7
13,CrossCode,2018-09-20,35282,3,1958,co28wy
14,Gunvolt Chronicles: Luminous Avenger iX,2019-09-25,101177,2,1959,co24dq
15,Mark of the Ninja Remastered,2018-10-09,94969,1,1960,co4wju
