Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Untitled Goose Game,2019-09-20,72813,15,1053,co1vqc
2,Hollow Knight,2017-02-24,14593,14,145,co1rgi
3,Neon White,2022-06-16,143612,13,261,co2tgh
4,Citizen Sleeper,2022-05-05,152271,12,250,co4zl5
5,Stardew Valley,2016-02-26,17000,11,386,xrpmydnu9rpxvxfjkiu7
6,Inscryption,2021-10-19,139090,10,1041,co401c
7,Spiritfarer,2020-08-18,119304,9,640,co2fe7
8,Chicory: A Colorful Tale,2021-06-10,117266,8,1042,co4s6f
9,Heaven's Vault,2019-04-16,27509,7,1971,co2t94
10,Storyteller,2023-03-23,159299,6,1972,co3hem
