Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Hades,2019-12-10,113112,15,95,co39vc
2,Hollow Knight,2017-02-24,14593,14,145,co1rgi
3,Stardew Valley,2016-02-26,17000,13,386,xrpmydnu9rpxvxfjkiu7
4,Celeste,2018-01-25,26226,12,144,co3byy
5,Sumire,2021-05-26,137960,11,1979,co2hdx
6,Spiritfarer,2020-08-18,119304,10,640,co2fe7
7,Ori and the Blind Forest,2015-03-11,7344,9,657,co1y41
8,What Comes After,2020-11-05,143264,8,1980,co2s9r
9,Gris,2018-12-13,22917,7,665,co1qv5
10,Cozy Grove,2021-03-19,144800,6,1981,co3u2x
11,Undertale,2015-09-15,12517,5,413,co2855
12,Cuphead,2017-09-29,9061,4,600,co62ao
13,Doki Doki Literature Club Plus!,2021-06-30,152122,3,1962,co395s
14,Shovel Knight: Treasure Trove,2019-12-09,26848,2,1948,co2gsx
15,Untitled Goose Game,2019-09-20,72813,1,1053,co1vqc
