Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Eve Online,2003-05-06,2584,15,2233,co7avk
2,Final Fantasy XI Online,2002-05-16,411,14,2257,co205x
3,Neverwinter,2013-06-20,1908,13,2265,co2qty
4,Tera,2011-01-25,7533,12,2254,co6g4n
5,RuneScape,2001-01-04,5611,11,1035,co4wo6
6,The Lord of the Rings Online,2007-04-24,3092,10,2239,co5rub
7,Phantasy Star Online,2000-12-21,21968,9,892,co6f12
8,City of Heroes,2004-04-27,7830,8,2260,co7lbg
9,DC Universe Online,2011-01-11,576,7,2256,co1u18
10,WildStar,1970-01-01,535,6,2268,co1w60
11,EverQuest,1999-03-16,282,5,2250,co6k7i
12,Guild Wars 2,2012-08-18,1183,4,2234,co54tr
13,Star Wars: The Old Republic,2011-12-20,114,3,2238,co20xa
14,Final Fantasy XIV Online,2013-08-27,386,2,2248,co48rz
15,The Elder Scrolls Online,2014-04-04,1081,1,2231,co1ybf
