Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,City of Heroes: Going Rogue,2010-08-01,20458,15,2259,k4ufeing3fwoi99jhv83
2,World of Warcraft,2004-11-23,123,14,514,co2l7z
3,World of Warcraft: Wrath of the Lich King,2008-11-13,228,13,1896,co1xv9
4,World of Warcraft: The Burning Crusade,2007-01-15,227,12,1902,co1xw6
5,City of Heroes,2004-04-27,7830,11,2260,co7lbg
6,City of Villains,2005-10-01,20457,10,2261,co1yfx
7,The Elder Scrolls Online,2014-04-04,1081,9,2231,co1ybf
8,Guild Wars 2,2012-08-18,1183,8,2234,co54tr
9,World of Warcraft: Cataclysm,2010-12-07,229,7,2241,co1xvb
10,Star Wars: The Old Republic,2011-12-20,114,6,2238,co20xa
11,Final Fantasy XIV Online,2010-09-30,14729,5,963,co1trg
12,World of Warcraft: Mists of Pandaria,2012-09-25,1332,4,1897,co1xvh
13,Asheron's Call,1999-11-02,603,3,2262,co4ovk
14,EverQuest,1999-03-16,282,2,2250,co6k7i
15,Pirate101,2012-10-15,23536,1,2263,co28yt
