Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Final Fantasy XIV Online,2010-09-30,14729,15,963,co1trg
2,World of Warcraft,2004-11-23,123,14,514,co2l7z
3,Eve Online,2003-05-06,2584,13,2233,co7avk
4,RuneScape,2001-01-04,5611,12,1035,co4wo6
5,Guild Wars 2,2012-08-18,1183,11,2234,co54tr
6,Star Wars: The Old Republic,2011-12-20,114,10,2238,co20xa
7,The Elder Scrolls Online,2014-04-04,1081,9,2231,co1ybf
8,Black Desert,2015-12-31,6292,8,2235,co6f1i
9,The Lord of the Rings Online,2007-04-24,3092,7,2239,co5rub
10,Destiny 2,2017-09-06,25657,6,1224,co67qb
