Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Papers, Please,2013-08-08,2935,15,645,co1vep
2,Stardew Valley,2016-02-26,17000,14,386,xrpmydnu9rpxvxfjkiu7
3,Marvel Snap,2022-10-18,202279,13,255,co5kkd
4,Thimbleweed Park,2017-03-30,10232,12,1294,co1wq3
5,Among Us,2018-06-15,111469,11,762,co45rg
6,Super Mario Run,2016-12-15,23796,10,1295,co1te0
7,Wayward Souls: Curse of Shadow,2014-04-24,19270,9,1296,co2sha
8,Genshin Impact,2020-09-28,119277,8,393,co480t
9,Before Your Eyes,2021-04-08,91477,7,975,co2x7h
10,Two Dots,2014-05-29,14047,6,1297,co1qjx
11,Fortnite,2017-07-25,1905,5,253,co2ekt
12,Rise of Cultures,2021-02-23,222983,4,1298,co5pbx
13,Call of Duty: Mobile,2019-05-14,106805,3,1286,co1vqe
