SourceName,SourceURL,SourceId,GeneratedCsvPath
GamesRadar+,https://www.gamesradar.com/the-best-videogame-stories-ever/,129,gamesradar+ - 2023-07-30_19-24-27.csv
Denofgeek,https://www.denofgeek.com/games/best-video-game-stories-ever/,171,denofgeek - 2023-07-30_19-26-58.csv
CBR,https://www.cbr.com/best-video-game-narratives/,179,cbr - 2023-07-30_19-28-57.csv
Themarysue,https://www.themarysue.com/best-written-video-games-of-all-time/,259,themarysue - 2023-07-30_19-31-59.csv
Gamerbolt,https://www.gamerbolt.com/the-20-best-story-driven-games/,260,gamerbolt - 2023-07-30_19-34-24.csv
Listchallenges,https://www.listchallenges.com/gamestars-top-100-best-story-driven-video-games,261,listchallenges - 2023-07-30_19-36-49.csv
Ranker,https://www.ranker.com/crowdranked-list/the-most-compelling-video-game-storylines,262,ranker - 2023-07-30_19-39-36.csv
Highgroundgaming,https://www.highgroundgaming.com/best-story-games/,263,highgroundgaming - 2023-07-30_19-41-54.csv
Plarium,https://plarium.com/en/blog/best-story-games/,264,plarium - 2023-07-30_19-44-15.csv
Dualshockers,https://www.dualshockers.com/best-video-game-stories/,180,dualshockers - 2023-07-30_19-45-49.csv
Sportskeeda,https://www.sportskeeda.com/esports/5-best-story-driven-video-games-2022,265,sportskeeda - 2023-07-30_19-46-53.csv
Whatculture,https://whatculture.com/gaming/20-best-video-game-stories-ever,266,whatculture - 2023-07-30_19-58-08.csv
Complex,https://www.complex.com/pop-culture/a/troy-mounis/25-best-stories-in-games,170,complex - 2023-07-30_20-01-35.csv
Youtube,https://www.youtube.com/watch?v=1RE_OHe0E74&ab_channel=WatchMojo.com,103,youtube - 2023-07-31_01-02-48.csv
Sportskeeda,https://www.sportskeeda.com/esports/10-best-video-game-stories-ever,265,sportskeeda - 2023-07-31_01-08-42.csv
Waveapps,https://www.waveapps.com/freelancing/highest-rated-video-games,267,waveapps - 2023-07-31_01-10-59.csv
Wealthofgeeks,https://wealthofgeeks.com/video-games-with-amazing-storylines/,268,wealthofgeeks - 2023-07-31_01-15-47.csv
Duniagames,https://duniagames.co.id/discover/article/15-game-terbaik-dengan-cerita-yang-cukup-berat/en,270,duniagames - 2023-07-31_01-18-10.csv
Howchoo,https://howchoo.com/gaming/the-best-video-game-storylines,271,howchoo - 2023-07-31_01-23-28.csv
Gameaboo,https://www.gameaboo.com/top-best-video-game-stories/,272,gameaboo - 2023-07-31_01-27-21.csv
Comingsoon,https://www.comingsoon.net/games/features/1140106-the-10-best-video-game-stories,273,comingsoon - 2023-07-31_01-29-39.csv
