Position,Title,TotalScore,ListsAppeared
1,The Last of Us (2013),196,17
2,The Witcher 3: Wild Hunt (2015),105,10
3,Silent Hill 2 (2001),101,11
4,God of War (2005),97,9
5,Red Dead Redemption 2 (2018),82,6
6,Undertale (2015),81,7
7,BioShock (2007),81,9
8,Red Dead Redemption (2010),73,7
9,Star Wars: Knights of the Old Republic (2003),72,9
10,Disco Elysium (2019),70,7
11,BioShock Infinite (2013),49,6
12,Life is Strange (2015),47,7
13,Firewatch (2016),45,4
14,NieR: Automata (2017),44,6
15,Chrono Trigger (1995),38,3
16,The Legend of Zelda: Ocarina of Time (1998),36,4
17,Soma (2015),34,3
18,Horizon Zero Dawn (2017),31,4
19,Metal Gear Solid (1998),31,4
20,Fallout: New Vegas (2010),31,5
21,What Remains of Edith Finch (2017),29,3
22,Shadow of the Colossus (2005),28,6
23,Final Fantasy VII (1997),28,3
24,Dragon Age: Origins (2009),28,3
25,The Walking Dead: Season One (2012),27,3
26,Half-Life (1998),26,2
27,Her Story (2015),25,2
28,Life is Strange: True Colors (2021),24,2
29,Fire Emblem: Three Houses (2019),23,2
30,The Walking Dead: The Telltale Series Collection (2017),21,2
31,Portal 2 (2011),20,5
32,Resident Evil Village (2021),20,2
33,Spec Ops: The Line (2012),20,3
34,Detroit: Become Human (2018),19,2
35,Mass Effect Legendary Edition (2021),19,2
36,Metal Gear Solid 3: Snake Eater (2004),18,2
37,Deus Ex (2000),17,3
38,Planescape: Torment (1999),17,2
39,Hellblade: Senua's Sacrifice (2017),17,2
40,Uncharted 4: A Thief's End (2016),16,2
41,Ghost of Tsushima (2020),15,1
42,Grim Fandango (1998),15,2
43,Uncharted: Drake's Fortune (2007),15,2
44,Batman: Arkham Knight (2015),15,2
45,Sekiro: Shadows Die Twice (2019),15,1
46,The Outer Worlds (2019),15,1
47,Vampire: The Masquerade - Bloodlines (2004),15,1
48,The Last of Us Part II (2020),14,1
49,Horizon Forbidden West (2022),14,1
50,Marvel's Spider-Man (2018),14,1
51,The Longest Journey (1999),14,1
52,Amnesia: A Machine for Pigs (2013),14,1
53,Final Fantasy VI (1994),13,2
54,Uncharted: The Lost Legacy (2017),13,1
55,Twin Mirror (2020),13,1
56,Unpacking (2021),13,1
57,Max Payne (2001),13,1
58,Heavy Rain (2010),12,2
59,Journey (2012),12,1
60,Lake (2021),12,1
61,Assassin's Creed (2007),12,1
62,Dying Light 2: Stay Human (2022),11,1
63,Resident Evil (1996),10,1
64,Kingdom Hearts (2002),10,2
65,Assassin's Creed Odyssey (2018),10,1
66,Golden Sun (2001),10,1
67,Disco Elysium: The Final Cut (2021),10,1
68,Until Dawn (2015),9,1
69,Mass Effect (2007),9,3
70,Grand Theft Auto V (2013),9,1
71,Little Nightmares (2017),9,1
72,Bastion (2011),9,1
73,Gone Home (2013),9,1
74,Hitman 3 (2021),9,1
75,Elden Ring (2022),9,1
76,Fallout (1997),9,1
77,Assassin's Creed II (2009),8,2
78,Bloodborne (2015),8,1
79,Persona 4 (2008),8,1
80,Titanfall 2 (2016),8,1
81,Mass Effect 2 (2010),8,2
82,The Elder Scrolls IV: Oblivion (2006),7,1
83,Grand Theft Auto IV (2008),7,1
84,The Wolf Among Us (2013),7,1
85,Batman: Arkham Asylum (2009),7,1
86,The Room: Old Sins (2018),7,1
87,Enderal (2016),7,1
88,Metal Gear Solid 4: Guns of the Patriots (2008),7,1
89,Star Wars: Knights of the Old Republic II - The Sith Lords (2004),6,2
90,The Walking Dead: The Telltale Definitive Series (2019),6,1
91,Star Wars Jedi: Fallen Order (2019),5,1
92,Twelve Minutes (2021),5,1
93,"I Have No Mouth, and I Must Scream (1995)",4,1
94,Persona 4 Golden (2012),4,1
95,Final Fantasy X (2001),4,1
96,Half-Life 2 (2004),4,1
97,Pathfinder: Wrath of the Righteous (2021),4,1
98,L.A. Noire (2011),3,1
99,Wolfenstein: The New Order (2014),3,1
100,Alan Wake (2010),3,1
101,Portal (2007),2,1
102,Kentucky Route Zero (2013),2,1
103,Syberia (2002),2,1
104,Final Fantasy IX (2000),2,1
105,Baldur's Gate II: Shadows of Amn (2000),1,1
106,Call of Duty 4: Modern Warfare (2007),1,1
107,Cyberpunk 2077 (2020),1,1
