Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Last of Us,2013-06-14,1009,15,320,co1r7f
2,The Witcher 3: Wild Hunt,2015-05-19,1942,14,347,co1wyy
3,The Legend of Zelda: Ocarina of Time,1998-11-21,1029,13,27,co3nnx
4,God of War,2005-03-22,549,12,314,co3ddc
5,Star Wars: Knights of the Old Republic,2003-07-15,116,11,790,co1tmz
6,Red Dead Redemption,2010-05-18,434,10,322,co2lcv
7,Silent Hill 2,2001-09-24,481,9,311,co2vyg
8,BioShock Infinite,2013-02-26,538,8,333,co2n12
9,Final Fantasy VI,1994-04-02,426,7,515,co31c2
10,Assassin's Creed II,2009-11-17,127,6,500,co1rcf
