Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Last of Us,2013-06-14,1009,15,320,co1r7f
2,Chrono Trigger,1995-03-11,1802,14,519,co3plw
3,Silent Hill 2,2001-09-24,481,13,311,co2vyg
4,Disco Elysium,2019-10-15,26472,12,185,co1sfj
5,Planescape: Torment,1999-12-12,832,11,734,co3ggb
6,Portal 2,2011-04-18,72,10,325,co1rs4
7,Star Wars: Knights of the Old Republic,2003-07-15,116,9,790,co1tmz
8,God of War,2018-04-20,19560,8,345,co1tmu
9,The Witcher 3: Wild Hunt,2015-05-19,1942,7,347,co1wyy
10,Shadow of the Colossus,2005-10-18,2207,6,306,co1ozz
11,Red Dead Redemption,2010-05-18,434,5,322,co2lcv
12,I Have No Mouth, and I Must Scream,1995-10-31,7578,4,1568,co6l4c
13,Fallout: New Vegas,2010-10-19,16,3,484,co1u60
14,BioShock,2007-08-21,20,2,391,co2mli
15,Grim Fandango,1998-10-28,181,1,1066,co25r3
