Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Undertale,2015-09-15,12517,15,413,co2855
2,Resident Evil Village,2021-05-06,55163,14,127,co2zpu
3,The Last of Us,2013-06-14,1009,13,320,co1r7f
4,God of War,2018-04-20,19560,12,345,co1tmu
5,BioShock,2007-08-21,20,11,391,co2mli
6,Red Dead Redemption,2010-05-18,434,10,322,co2lcv
7,Uncharted: Drake's Fortune,2007-11-16,431,9,496,co1tp7
8,Kingdom Hearts,2002-03-28,1219,8,441,co30zf
9,Portal 2,2011-04-18,72,7,325,co1rs4
10,Heavy Rain,2010-02-18,493,6,489,co3rhy
