Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Sekiro: Shadows Die Twice,2019-03-22,76882,15,417,co2a23
2,The Last of Us,2013-06-14,1009,14,320,co1r7f
3,God of War,2018-04-20,19560,13,345,co1tmu
4,Journey,2012-03-13,1352,12,332,co1q8q
5,BioShock Infinite,2013-02-26,538,11,333,co2n12
6,Assassin's Creed Odyssey,2018-10-05,103054,10,415,co2nul
7,Bastion,2011-07-20,1983,9,655,co1qlj
8,Titanfall 2,2016-10-28,17447,8,1228,fhbeilnghyhhmjqhinqa
9,Batman: Arkham Asylum,2009-08-25,500,7,1156,co1voj
10,Life is Strange,2015-01-29,7599,6,1573,co1r8e
11,Star Wars Jedi: Fallen Order,2019-11-15,74701,5,608,co1rbi
