Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Disco Elysium,2019-10-15,26472,15,185,co1sfj
2,Red Dead Redemption 2,2018-10-26,25076,14,352,co1q1f
3,The Last of Us,2013-06-14,1009,13,320,co1r7f
4,The Witcher 3: Wild Hunt,2015-05-19,1942,12,347,co1wyy
5,Fallout: New Vegas,2010-10-19,16,11,484,co1u60
6,BioShock,2007-08-21,20,10,391,co2mli
7,Dragon Age: Origins,2009-11-03,76,9,1161,co2mvs
8,Life is Strange,2015-01-29,7599,8,1573,co1r8e
9,Mass Effect 2,2010-01-26,74,7,334,co20ac
10,Spec Ops: The Line,2012-06-26,1377,6,1468,co2acb
11,Horizon Zero Dawn,2017-02-28,11156,5,348,co2una
12,Star Wars: Knights of the Old Republic,2003-07-15,116,4,790,co1tmz
13,Deus Ex,2000-06-26,41,3,1086,co1r7n
14,Hellblade: Senua's Sacrifice,2017-08-07,7603,2,1574,co2l7l
15,Cyberpunk 2077,2020-12-09,1877,1,736,co4hk8
