Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Red Dead Redemption 2,2018-10-26,25076,15,352,co1q1f
2,The Last of Us,2013-06-14,1009,14,320,co1r7f
3,The Witcher 3: Wild Hunt,2015-05-19,1942,13,347,co1wyy
4,Red Dead Redemption,2010-05-18,434,12,322,co2lcv
5,BioShock Infinite,2013-02-26,538,11,333,co2n12
6,Star Wars: Knights of the Old Republic,2003-07-15,116,10,790,co1tmz
7,Fallout: New Vegas,2010-10-19,16,9,484,co1u60
8,Uncharted 4: A Thief's End,2016-05-10,7331,8,355,co1r7h
9,Metal Gear Solid,1998-09-03,375,7,237,co55sj
10,The Walking Dead: The Telltale Definitive Series,2019-09-10,117514,6,770,co1q9o
11,God of War,2018-04-20,19560,5,345,co1tmu
12,Life is Strange,2015-01-29,7599,4,1573,co1r8e
13,Final Fantasy VII,1997-01-31,427,3,247,co2kx2
14,The Legend of Zelda: Ocarina of Time,1998-11-21,1029,2,27,co3nnx
15,Star Wars: Knights of the Old Republic II - The Sith Lords,2004-12-06,118,1,1506,co1qrj
