Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Red Dead Redemption,2010-05-18,434,15,322,co2lcv
2,Star Wars: Knights of the Old Republic,2003-07-15,116,14,790,co1tmz
3,Max Payne,2001-07-23,18,13,1091,co3wb2
4,Assassin's Creed,2007-11-13,128,12,1584,co1rrw
5,Soma,2015-09-21,9727,11,769,co2a20
6,BioShock Infinite,2013-02-26,538,10,333,co2n12
7,Fallout,1997-09-30,13,9,1064,co1ybn
8,Disco Elysium,2019-10-15,26472,8,185,co1sfj
9,Horizon Zero Dawn,2017-02-28,11156,7,348,co2una
10,Uncharted: Drake's Fortune,2007-11-16,431,6,496,co1tp7
11,Metal Gear Solid,1998-09-03,375,5,237,co55sj
12,The Last of Us,2013-06-14,1009,4,320,co1r7f
13,Mass Effect,2007-11-20,73,3,1140,co1x7o
