Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Red Dead Redemption 2,2018-10-26,25076,15,352,co1q1f
2,The Legend of Zelda: Tears of the Kingdom,2023-05-12,119388,14,21,co5vmg
3,Metal Gear Solid V: The Phantom Pain,2015-09-01,1985,13,331,co1v85
4,Elden Ring,2022-02-25,119133,12,10,co4jni
5,Horizon Forbidden West,2022-02-18,112874,11,17,co2gvu
6,The Elder Scrolls V: Skyrim,2011-11-10,472,10,392,co1tnw
7,The Witcher 3: Wild Hunt,2015-05-19,1942,9,347,co1wyy
8,Shadow of the Colossus,2005-10-18,2207,8,306,co1ozz
9,Grand Theft Auto V,2013-09-17,1020,7,323,co2lbd
10,Forza Horizon 5,2021-11-09,141503,6,360,co3ofx
