Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Witcher 3: Wild Hunt,2015-05-19,1942,15,347,co1wyy
2,The Legend of Zelda: Breath of the Wild,2017-03-03,7346,14,23,co3p2d
3,The Elder Scrolls III: Morrowind,2002-05-01,56,13,800,co2knd
4,Grand Theft Auto V,2013-09-17,1020,12,323,co2lbd
5,Minecraft,2011-11-18,121,11,201,co49x5
6,Metal Gear Solid V: The Phantom Pain,2015-09-01,1985,10,331,co1v85
7,Red Dead Redemption 2,2018-10-26,25076,9,352,co1q1f
8,Batman: Arkham City,2011-10-18,501,8,327,co1voh
9,Assassin's Creed Odyssey,2018-10-05,103054,7,415,co2nul
10,Fallout: New Vegas,2010-10-19,16,6,484,co1u60
11,NieR: Automata,2017-02-23,11208,5,398,co5pcj
12,Dark Souls,2011-09-22,2155,4,26,co1x78
13,Horizon Zero Dawn,2017-02-28,11156,3,348,co2una
14,Marvel's Spider-Man,2018-09-07,19565,2,349,co1r77
15,The Simpsons: Hit & Run,2003-09-16,2844,1,1419,co2uk7
