Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Half-Life: Alyx,2020-03-23,126098,15,38,co1tq3
2,The Witcher 3: Wild Hunt,2015-05-19,1942,14,347,co1wyy
3,XCOM 2,2016-02-04,10919,13,961,co1mvj
4,Disco Elysium,2019-10-15,26472,12,185,co1sfj
5,Elden Ring,2022-02-25,119133,11,10,co4jni
6,Crusader Kings III,2020-09-01,124954,10,962,co2g3i
7,Hollow Knight,2017-02-24,14593,9,145,co1rgi
8,Outer Wilds,2019-05-28,11737,8,370,co65ac
9,Hades,2019-12-10,113112,7,95,co39vc
10,Final Fantasy XIV Online,2010-09-30,14729,6,963,co1trg
11,Divinity: Original Sin II - Definitive Edition,2018-08-31,103337,5,726,co1y5o
12,God of War,2018-04-20,19560,4,345,co1tmu
13,Apex Legends,2019-02-04,114795,3,412,co1wzo
14,Slay the Spire,2019-01-23,40477,2,146,co1iyf
15,FTL: Faster Than Light,2012-09-14,3075,1,964,co2gd9
