Position,Title,TotalScore,ListsAppeared
1,Chrono Trigger (1995),115,9
2,The Witcher 3: Wild Hunt (2015),109,11
3,The Elder Scrolls V: Skyrim (2011),88,8
4,Mass Effect 2 (2010),77,8
5,Baldur's Gate II: Shadows of Amn (2000),69,9
6,Final Fantasy VI (1994),64,6
7,Final Fantasy VII (1997),54,5
8,Elden Ring (2022),51,5
9,World of Warcraft (2004),48,6
10,Planescape: Torment (1999),48,6
11,Star Wars: Knights of the Old Republic (2003),48,7
12,Divinity: Original Sin II - Definitive Edition (2018),47,4
13,Fallout: New Vegas (2010),42,6
14,Disco Elysium: The Final Cut (2021),41,3
15,Diablo II (2000),38,5
16,Final Fantasy IX (2000),32,4
17,Persona 5 Royal (2019),25,5
18,Vampire: The Masquerade - Bloodlines (2004),23,2
19,Fallout (1997),20,2
20,Undertale (2015),19,2
21,Deus Ex (2000),17,4
22,Disco Elysium (2019),17,3
23,Dragon Age: Inquisition (2014),17,2
24,Persona 4 Golden (2012),17,2
25,EarthBound (1994),17,2
26,Dragon Age: Origins (2009),16,3
27,Pokémon Red (1996),15,4
28,Dark Souls (2011),15,4
29,Fallout 3 (2008),15,2
30,NieR: Automata (2017),15,1
31,Suikoden II (1998),14,2
32,Yakuza: Like a Dragon (2020),14,1
33,The Elder Scrolls IV: Oblivion (2006),14,2
34,The Elder Scrolls III: Morrowind (2002),13,2
35,Stardew Valley (2016),13,2
36,Star Wars: Knights of the Old Republic II - The Sith Lords (2004),13,1
37,Chrono Cross (1999),13,2
38,Baldur's Gate 3 (2020),13,1
39,Bloodborne (2015),12,2
40,The Legend of Zelda: Breath of the Wild (2017),12,1
41,Baldur's Gate: Enhanced Edition (2012),12,1
42,Pokémon Yellow (1998),12,1
43,Planescape: Torment - Enhanced Edition (2017),11,1
44,NieR RepliCant (2010),11,1
45,Path of Exile (2013),10,1
46,System Shock 2 (1999),10,1
47,Paper Mario: The Thousand-Year Door (2004),10,2
48,Ultima VII: The Black Gate (1992),10,1
49,Secret of Mana (1993),9,1
50,The World Ends with You: Solo Remix for iPad (2012),9,1
51,Assassin's Creed Odyssey (2018),8,1
52,Quest for Glory V: Dragon Fire (1998),8,1
53,Vagrant Story (2000),7,1
54,Persona 4 (2008),7,1
55,Final Fantasy Tactics (1997),6,1
56,Vampire Survivors (2021),6,1
57,Fable Anniversary (2014),5,1
58,Dragon Quest XI: Echoes of an Elusive Age (2017),4,1
59,Legend of Grimrock (2012),4,1
60,Mass Effect (2007),3,2
61,Diablo III (2012),2,1
62,The Elder Scrolls V: Skyrim - Anniversary Edition (2021),2,1
63,Pokémon Gold (1999),2,1
64,Final Fantasy VII Remake Intergrade (2021),1,1
65,Crusader Kings III (2020),1,1
66,Fallout 2 (1998),1,1
67,The Witcher 3: Wild Hunt - Complete Edition (2016),1,1
68,Kingdom Hearts II (2005),1,1
