Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Elder Scrolls V: Skyrim,2011-11-10,472,15,392,co1tnw
2,Final Fantasy VI,1994-04-02,426,14,515,co31c2
3,Chrono Trigger,1995-03-11,1802,13,519,co3plw
4,Mass Effect 2,2010-01-26,74,12,334,co20ac
5,The Witcher 3: Wild Hunt,2015-05-19,1942,11,347,co1wyy
6,World of Warcraft,2004-11-23,123,10,514,co2l7z
7,Star Wars: Knights of the Old Republic,2003-07-15,116,9,790,co1tmz
8,Diablo II,2000-06-29,126,8,1087,co3gfq
9,Baldur's Gate II: Shadows of Amn,2000-09-21,6,7,1089,co1y4w
10,Final Fantasy Tactics,1997-06-20,428,6,342,co2yx4
11,Bloodborne,2015-03-24,7334,5,346,co1rba
12,Fallout 3,2008-10-28,15,4,483,co1ycw
13,Planescape: Torment,1999-12-12,832,3,734,co3ggb
14,Deus Ex,2000-06-26,41,2,1086,co1r7n
15,Pokémon Red,1996-02-27,1561,1,513,co5pi4
