Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Elder Scrolls V: Skyrim,2011-11-10,472,15,392,co1tnw
2,Chrono Trigger,1995-03-11,1802,14,519,co3plw
3,Final Fantasy VII,1997-01-31,427,13,247,co2kx2
4,The Elder Scrolls IV: Oblivion,2006-03-20,59,12,1129,co1tc8
5,Fallout 3,2008-10-28,15,11,483,co1ycw
6,Final Fantasy VI,1994-04-02,426,10,515,co31c2
7,The Witcher 3: Wild Hunt,2015-05-19,1942,9,347,co1wyy
8,Star Wars: Knights of the Old Republic,2003-07-15,116,8,790,co1tmz
9,EarthBound,1994-08-27,2899,7,573,co3shr
10,Pokémon Red,1996-02-27,1561,6,513,co5pi4
11,Mass Effect 2,2010-01-26,74,5,334,co20ac
12,Dragon Age: Origins,2009-11-03,76,4,1161,co2mvs
13,Paper Mario: The Thousand-Year Door,2004-07-22,3349,3,531,co25us
14,Mass Effect,2007-11-20,73,2,1140,co1x7o
15,Kingdom Hearts II,2005-12-22,1221,1,449,co30t1
