Position,Title,TotalScore,ListsAppeared
1,StarCraft II: Wings of Liberty (2010),122,10
2,Company of Heroes (2006),116,11
3,Warcraft III: Reign of Chaos (2002),111,10
4,Age of Empires II: The Age of Kings (1999),98,9
5,Total Annihilation (1997),68,6
6,Homeworld (1999),66,9
7,StarCraft (1998),66,5
8,Age of Empires IV (2021),63,5
9,Supreme Commander (2007),47,7
10,Age of Empires II: Definitive Edition (2019),42,3
11,XCOM 2 (2016),39,3
12,Rome: Total War (2004),38,4
13,Command & Conquer: Red Alert 2 (2000),38,5
14,Company of Heroes 2 (2013),38,3
15,Stellaris (2016),37,4
16,Command & Conquer (1995),36,3
17,Northgard (2018),34,5
18,Iron Harvest (2020),32,3
19,Supreme Commander: Forged Alliance (2007),31,3
20,StarCraft: Brood War (1998),30,2
21,"Warhammer 40,000: Dawn of War II (2009)",30,4
22,Crusader Kings III (2020),27,4
23,Stronghold Crusader (2002),26,3
24,Sid Meier's Civilization VI (2016),26,3
25,Frostpunk (2018),26,3
26,They Are Billions (2017),26,3
27,Rise of Nations (2003),25,4
28,Total War: Warhammer III (2022),24,2
29,Company of Heroes 3 (2023),23,2
30,Ancestors Legacy (2018),22,2
31,The Lord of the Rings: The Battle for Middle-earth II (2006),20,3
32,Command & Conquer: Red Alert (1996),20,4
33,Offworld Trading Company (2016),19,4
34,The Lord of the Rings: The Battle for Middle-earth (2004),18,3
35,Sid Meier's Civilization V (2010),18,2
36,Sid Meier's Gettysburg! (1997),17,2
37,Warcraft III: Reforged (2020),16,2
38,Age of Empires III (2005),16,2
39,Age of Mythology (2002),15,2
40,Evil Genius 2: World Domination (2021),15,1
41,Total War: Arena (2018),15,1
42,Dune II: The Building of a Dynasty (1992),15,1
43,Project Phoenix (2018),14,1
44,Anomaly: Warzone Earth (2011),14,1
45,Homeworld: Deserts of Kharak (2016),14,1
46,Battlefleet Gothic: Armada (2016),14,2
47,Fire Emblem: Three Houses (2019),14,1
48,Cultist Simulator (2018),13,1
49,Soldiers: Arena (1970),13,1
50,Ashes of the Singularity (2016),13,2
51,Stronghold (1983),13,3
52,Empire Earth II (2005),12,1
53,Halo Wars: Definitive Edition (2016),12,1
54,Driftland: The Magic Revival (2019),12,1
55,SpellForce 3 (2017),12,1
56,Shadow Tactics: Blades of the Shogun (2016),11,1
57,Command & Conquer: Generals (2003),11,1
58,Myth: The Fallen Lords (1997),11,2
59,StarCraft II: Legacy of the Void (2015),11,1
60,Total War: Warhammer (2016),11,1
61,Total War: Rome II - Emperor Edition (2013),11,1
62,Empire Earth (2001),11,1
63,Zeus + Poseidon (2016),10,1
64,Bad North (2018),10,1
65,Twilight Struggle (2016),10,1
66,Tooth and Tail (2017),10,1
67,Halo Wars 2 (2017),9,1
68,Plants vs. Zombies (2009),9,1
69,Medieval II: Total War - Kingdoms (2007),9,1
70,Army Men: RTS (2002),9,1
71,Total War: Warhammer II (2017),8,1
72,Command & Conquer Remastered Collection (2020),8,1
73,Age of Empires II: HD Edition (2013),8,1
74,Dota 2 (2013),8,1
75,RimWorld: Console Edition (2022),8,1
76,Cossacks 3 (2016),8,1
77,Timberborn (2021),7,1
78,Star Wars: Empire at War (2006),7,2
79,Knights of Honor (2005),7,1
80,Sins of a Solar Empire: Rebellion (2012),6,2
81,Dungeon Keeper (1997),6,1
82,The Universim (2018),6,1
83,Medieval: Total War (2002),5,1
84,Halo Wars (2009),5,2
85,"Warhammer 40,000: Dawn of War (2004)",5,1
86,Tropico 6 (2019),4,1
87,Sid Meier's Civilization II (1996),3,1
88,Total War: Shogun 2 (2011),2,1
89,SpellForce 3: Fallen God (2020),2,1
90,Sins of a Solar Empire (2008),2,1
91,Into the Breach (2018),2,1
92,Command & Conquer 3: Tiberium Wars (2007),2,1
93,Sacrifice (2000),1,1
94,Steel Division: Normandy 44 (2017),1,1
95,Black & White (2001),1,1
