Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Age of Empires IV,2021-10-28,55029,15,1780,co39tg
2,Command & Conquer: Red Alert 2,2000-10-25,245,14,1764,co2345
3,Iron Harvest,2020-09-01,25581,13,1785,co3b8n
4,Sid Meier's Civilization VI,2016-10-20,19130,12,1299,co5r54
5,Frostpunk,2018-04-24,23248,11,1786,mferu1am1yv5pcy5aplm
6,StarCraft II: Wings of Liberty,2010-07-27,239,10,1173,co1tnn
7,Company of Heroes 3,2023-02-23,156150,9,1447,co3ei8
8,Total War: Warhammer II,2017-09-28,28028,8,1539,co23go
9,Northgard,2018-03-07,18918,7,1753,guqifzispzew1rubnyzd
10,Crusader Kings III,2020-09-01,124954,6,962,co2g3i
