Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,StarCraft II: Wings of Liberty,2010-07-27,239,15,1173,co1tnn
2,Age of Empires II: Definitive Edition,2019-11-14,55056,14,1747,co1n24
3,Company of Heroes 2,2013-06-25,1369,13,1778,co1my1
4,Halo Wars: Definitive Edition,2016-12-20,26183,12,1779,co41ko
5,Age of Empires IV,2021-10-28,55029,11,1780,co39tg
6,Bad North,2018-08-20,78550,10,1781,co1rg9
7,Offworld Trading Company,2016-04-28,10637,9,1782,co256k
8,Command & Conquer Remastered Collection,2020-06-05,112104,8,1783,co28j1
9,They Are Billions,2017-12-13,36616,7,1784,co1n7h
10,Iron Harvest,2020-09-01,25581,6,1785,co3b8n
11,Northgard,2018-03-07,18918,5,1753,guqifzispzew1rubnyzd
12,Stellaris,2016-05-09,11582,4,1540,co1r75
13,Frostpunk,2018-04-24,23248,3,1786,mferu1am1yv5pcy5aplm
14,SpellForce 3: Fallen God,2020-11-03,140492,2,1787,co2jgs
15,Sins of a Solar Empire: Rebellion,2012-06-12,9924,1,1752,co1uyc
