Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Command & Conquer,1995-08-31,647,15,1754,co1zyz
2,Anomaly: Warzone Earth,2011-04-08,8758,14,1755,co1rkx
3,Company of Heroes,2006-09-12,654,13,1130,co2ht7
4,StarCraft II: Wings of Liberty,2010-07-27,239,12,1173,co1tnn
5,Homeworld,1999-09-28,749,11,1750,co29ly
6,Twilight Struggle,2016-04-13,34351,10,1756,co2rri
7,Plants vs. Zombies,2009-05-05,1277,9,1287,co69id
8,RimWorld: Console Edition,2022-07-29,210525,8,1757,co506s
9,Warcraft III: Reign of Chaos,2002-07-03,132,7,1103,co1xuq
10,Sid Meier's Gettysburg!,1997-10-14,867,6,1758,we5pw5uckoc8s0bu7mir
11,Rome: Total War,2004-09-22,438,5,1110,co1zt9
12,Age of Empires II: The Age of Kings,1999-09-30,327,4,1079,co55xo
13,Myth: The Fallen Lords,1997-11-25,800,3,1389,co29oa
14,Crusader Kings III,2020-09-01,124954,2,962,co2g3i
15,Black & White,2001-03-25,308,1,1425,co1u2x
