Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Total War: Arena,2018-02-22,12982,15,1807,co2rpw
2,Homeworld: Deserts of Kharak,2016-01-20,15444,14,1808,co2h4i
3,Soldiers: Arena,1970-01-01,34024,13,1809,co1ibf
4,Battlefleet Gothic: Armada,2016-04-21,8713,12,1810,co2piy
5,Total War: Warhammer,2016-05-24,9898,11,1811,co2rq0
6,StarCraft II: Wings of Liberty,2010-07-27,239,10,1173,co1tnn
7,Ashes of the Singularity,2016-03-31,11666,9,1767,co1rgl
8,Cossacks 3,2016-09-20,13215,8,1812,co1yh2
9,Offworld Trading Company,2016-04-28,10637,7,1782,co256k
10,Warcraft III: Reign of Chaos,2002-07-03,132,6,1103,co1xuq
11,Supreme Commander,2007-02-16,276,5,1762,co2jpd
12,Age of Empires III,2005-10-18,299,4,1770,co1xy6
13,Company of Heroes,2006-09-12,654,3,1130,co2ht7
14,Stronghold,1983-07-01,18539,2,1768,bljxggfonxamditkntms
15,Star Wars: Empire at War,2006-02-16,144,1,1765,co1nrw
