SourceName,SourceURL,SourceId,GeneratedCsvPath
Xda-developers,https://www.xda-developers.com/best-steam-deck-games/,208,xda-developers - 2023-05-26_13-02-33.csv
Beebom,https://beebom.com/best-games-steam-deck/,209,beebom - 2023-05-26_13-04-47.csv
Ggrecon,https://www.ggrecon.com/guides/best-steam-deck-games/,210,ggrecon - 2023-05-26_13-09-58.csv
IGN,https://www.ign.com/articles/the-10-best-steam-deck-games,94,ign - 2023-05-26_13-11-40.csv
Stuff TV,https://www.stuff.tv/features/the-18-best-games-to-play-on-the-steam-deck-today/,93,stuff tv - 2023-05-26_13-15-52.csv
Culturedvultures,https://culturedvultures.com/best-steam-deck-games/,158,culturedvultures - 2023-05-26_13-20-23.csv
WhatIfGaming,https://whatifgaming.com/best-games-for-steam-deck/,137,whatifgaming - 2023-05-26_13-23-49.csv
Kotaku,https://kotaku.com/steam-deck-valve-best-games-to-play-verified-pc-gaming-1849371052,147,kotaku - 2023-05-26_13-25-50.csv
Pcgamesn,https://www.pcgamesn.com/best-steam-deck-games,211,pcgamesn - 2023-05-26_13-27-14.csv
Steam250,https://steam250.com/steam_deck_verified,212,steam250 - 2023-05-26_13-28-56.csv
Maketecheasier,https://www.maketecheasier.com/best-steam-deck-games/,213,maketecheasier - 2023-05-26_13-31-50.csv
Laptopmag,https://www.laptopmag.com/best-picks/best-steam-deck-games,203,laptopmag - 2023-05-26_13-34-13.csv
