Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Vampire Survivors,2021-12-17,186725,15,252,co4bzv
2,Stardew Valley,2016-02-26,17000,14,386,xrpmydnu9rpxvxfjkiu7
3,Cuphead,2017-09-29,9061,13,600,co62ao
4,South Park: The Stick of Truth,2014-03-03,1262,12,740,co1v8x
5,Hollow Knight,2017-02-24,14593,11,145,co1rgi
6,Dark Souls: Remastered,2018-05-23,81085,10,741,co2uro
7,Hades,2019-12-10,113112,9,95,co39vc
8,Grand Theft Auto IV,2008-04-29,731,8,337,co2lbv
9,Octopath Traveler,2018-07-13,26765,7,704,co4kap
10,Slay the Spire,2019-01-23,40477,6,146,co1iyf
11,Valheim,2021-02-02,104967,5,742,co2x61
12,Dead Cells,2018-08-06,26855,4,619,co5vwu
13,Subnautica,2018-01-23,9254,3,82,co1iqw
14,Project Zomboid,2013-11-08,3189,2,743,co3whw
15,Hi-Fi Rush,2023-01-25,233585,1,722,co6219
