Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Red Dead Redemption 2,2018-10-26,25076,15,352,co1q1f
2,SuperHot: Mind Control Delete,2020-07-16,27448,14,768,co2yyr
3,Yakuza: Like a Dragon,2020-01-16,36550,13,614,co2em9
4,No Man's Sky,2016-08-09,3225,12,65,co5j66
5,Elden Ring,2022-02-25,119133,11,10,co4jni
6,Tunic,2022-03-16,23733,10,268,td1t8kb33gyo8mvhl2pc
7,Rollerdrome,2022-08-16,203366,9,277,co4tg1
8,Devil May Cry 5,2019-03-08,76253,8,400,co1rb4
9,Rogue Legacy 2,2020-04-18,132058,7,749,co4p51
10,Soma,2015-09-21,9727,6,769,co2a20
