Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Rogue Legacy 2,2020-04-18,132058,15,749,co4p51
2,Tunic,2022-03-16,23733,14,268,td1t8kb33gyo8mvhl2pc
3,The Witcher 3: Wild Hunt,2015-05-19,1942,13,347,co1wyy
4,Vampire Survivors,2021-12-17,186725,12,252,co4bzv
5,Portal 2,2011-04-18,72,11,325,co1rs4
6,Elden Ring,2022-02-25,119133,10,10,co4jni
7,Disco Elysium: The Final Cut,2021-03-30,141540,9,431,co2ve1
8,Half-Life 2,2004-11-16,233,8,160,co1nmw
9,God of War,2018-04-20,19560,7,345,co1tmu
10,Aperture Desk Job,2022-03-01,191897,6,750,co4ibh
11,Hades,2019-12-10,113112,5,95,co39vc
12,Hollow Knight,2017-02-24,14593,4,145,co1rgi
13,Marvel's Spider-Man Remastered,2020-11-12,138949,3,751,co52vm
14,Fable Anniversary,2014-02-04,7658,2,752,co22lr
15,Cuphead: The Delicious Last Course,2022-06-30,103287,1,753,co62al
