Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Hogwarts Legacy,2023-02-10,136625,15,20,co2gn3
2,Apex Legends,2019-02-04,114795,14,412,co1wzo
3,Minecraft,2011-11-18,121,13,201,co49x5
4,Sea of Thieves,2018-03-20,11137,12,366,co2558
5,Stardew Valley,2016-02-26,17000,11,386,xrpmydnu9rpxvxfjkiu7
6,Pizza Tower,2023-01-26,135818,10,738,co5uu1
7,Stray,2022-07-19,110248,9,272,co4tt2
8,Need for Speed: Hot Pursuit - Remastered,2020-11-06,139346,8,739,co2nhk
9,Dredge,2023-03-30,164867,7,706,co69zw
10,Hi-Fi Rush,2023-01-25,233585,6,722,co6219
