Position,Title,TotalScore,ListsAppeared
1,Resident Evil 2 (2019),126,9
2,Silent Hill 2 (2001),102,10
3,Resident Evil 4 (2023),87,7
4,Alien: Isolation (2014),64,8
5,Dead Space (2023),56,7
6,Outlast (2013),51,7
7,System Shock 2 (1999),50,4
8,Resident Evil 7: Biohazard (2017),48,5
9,Resident Evil (2002),42,3
10,Resident Evil Village (2021),39,5
11,Soma (2015),35,4
12,The Evil Within (2014),34,5
13,Amnesia: The Dark Descent (2010),34,4
14,Until Dawn (2015),33,6
15,The Last of Us (2013),29,2
16,Darkwood (2017),29,4
17,Resident Evil 3: Nemesis (1999),29,3
18,Alan Wake II (2023),28,3
19,Eternal Darkness: Sanity's Requiem (2002),27,3
20,Bloodborne (2015),27,3
21,Sweet Home (1989),25,2
22,Resident Evil Code: Veronica (2000),25,2
23,Layers of Fear (2016),22,2
24,The Last of Us Part I (2022),21,2
25,Fatal Frame II: Crimson Butterfly (2003),20,3
26,Dead by Daylight (2016),20,3
27,The Last of Us Part II (2020),18,2
28,Dead Space 2 (2011),18,3
29,Alan Wake Remastered (2021),17,2
30,Alone in the Dark (1992),15,1
31,S.T.A.L.K.E.R.: Call of Pripyat (2009),15,1
32,Inscryption (2021),14,2
33,Condemned: Criminal Origins (2005),13,2
34,Dying Light (2015),13,1
35,Pathologic (2005),13,1
36,Anatomy (2016),12,1
37,Amnesia: The Bunker (2023),12,1
38,Silent Hill 3 (2003),11,2
39,Silent Hill (1999),11,1
40,Amnesia: Rebirth (2020),9,2
41,Stories Untold (2017),9,1
42,A Plague Tale: Requiem (2022),9,1
43,The Evil Within 2 (2017),7,3
44,Five Nights at Freddy's (2014),6,1
45,Legacy of Kain: Soul Reaver (1999),6,1
46,Dino Crisis (1999),6,1
47,The Excavation of Hob's Barrow (2022),6,1
48,Clock Tower (1995),5,1
49,Outlast II (2017),5,1
50,Dredge (2023),5,1
51,Five Nights at Freddy's: Security Breach (2021),4,1
52,Devotion (2019),4,1
53,The Last of Us Part II: Remastered (2024),4,1
54,Fatal Frame (2001),3,1
55,Returnal (2021),3,1
56,Alan Wake (2010),2,1
57,Haunting Ground (2005),2,1
58,Resident Evil: Revelations (2012),2,1
59,Lone Survivor (2012),2,1
60,Doki Doki Literature Club Plus! (2021),2,1
61,Visage (2020),1,1
62,Dead Space 3 (2013),1,1
63,Phasmophobia (2020),1,1
