Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Silent Hill 2,2001-09-24,481,15,311,co2vyg
2,Resident Evil Village,2021-05-06,55163,14,127,co2zpu
3,Dying Light,2015-01-26,3042,13,1245,co65yq
4,Dead by Daylight,2016-06-14,18866,12,2175,co5zky
5,The Evil Within,2014-10-14,4786,11,1839,co5wgs
6,Alien: Isolation,2014-10-06,4754,10,1257,co1vzu
7,Until Dawn,2015-08-25,7609,9,1244,co2s5q
8,Alan Wake Remastered,2021-10-05,167611,8,713,co65aa
9,Resident Evil 2,2019-01-25,19686,7,354,co1ir3
10,Resident Evil 7: Biohazard,2017-01-24,19562,6,47,co545w
11,Outlast II,2017-04-25,14390,5,2176,co20x8
12,Five Nights at Freddy's: Security Breach,2021-12-16,138933,4,2177,co4aro
13,The Evil Within 2,2017-10-12,36813,3,2178,co5wgu
14,Resident Evil: Revelations,2012-01-26,978,2,2179,co54dy
15,Dead Space 3,2013-02-05,1216,1,610,co2int
