Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Resident Evil 7: Biohazard,2017-01-24,19562,15,47,co545w
2,Layers of Fear,2016-02-15,12482,14,1238,co1nhw
3,Alien: Isolation,2014-10-06,4754,13,1257,co1vzu
4,Resident Evil 2,2019-01-25,19686,12,354,co1ir3
5,Alan Wake II,2023-10-17,185246,11,998,co6jar
6,Silent Hill 2,2001-09-24,481,10,311,co2vyg
7,Outlast,2013-09-04,1910,9,1822,co1yat
8,Soma,2015-09-21,9727,8,769,co2a20
9,Dead Space,2023-01-27,159119,7,88,co5esn
10,Amnesia: Rebirth,2020-10-20,131785,6,2182,co2iuo
11,Resident Evil 4,2005-01-11,974,5,426,co2wk8
12,Devotion,2019-02-19,104786,4,1048,co2muf
13,Bloodborne,2015-03-24,7334,3,346,co1rba
14,Darkwood,2017-08-17,17032,2,2169,co24nh
15,Until Dawn,2015-08-25,7609,1,1244,co2s5q
