Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Resident Evil 4,2005-01-11,974,15,426,co2wk8
2,Resident Evil Code: Veronica,2000-02-03,968,14,1085,co2vzn
3,The Last of Us Part II,2020-06-19,26192,13,11,co5ziw
4,Resident Evil 4,2023-03-24,132181,12,212,co4tg4
5,Eternal Darkness: Sanity's Requiem,2002-06-23,3907,11,536,co1sa8
6,System Shock 2,1999-08-11,22,10,1084,co4bak
7,Resident Evil,2002-03-22,24869,9,1356,co2vz8
8,Resident Evil 3: Nemesis,1999-09-22,966,8,521,co2vvb
9,Resident Evil,1996-03-22,424,7,341,co20bp
10,Legacy of Kain: Soul Reaver,1999-08-16,4122,6,343,co1yal
11,Resident Evil 2,2019-01-25,19686,5,354,co1ir3
12,The Last of Us Part II: Remastered,2024-01-19,277143,4,2172,co7dw9
13,Dead Space,2023-01-27,159119,3,88,co5esn
14,Alan Wake II,2023-10-17,185246,2,998,co6jar
15,Silent Hill 2,2001-09-24,481,1,311,co2vyg
