Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Silent Hill 2,2001-09-24,481,15,311,co2vyg
2,Resident Evil 2,1998-01-21,880,14,248,co2vz0
3,Resident Evil 2,2019-01-25,19686,13,354,co1ir3
4,Resident Evil,1996-03-22,424,12,341,co20bp
5,Silent Hill,1999-02-23,480,11,256,co2vye
6,Dead Space,2008-10-14,37,10,482,co2g7w
7,Resident Evil 3: Nemesis,1999-09-22,966,9,521,co2vvb
8,Silent Hill 3,2003-05-23,482,8,2174,co3kol
9,Resident Evil 4,2005-01-11,974,7,426,co2wk8
10,Alien: Isolation,2014-10-06,4754,6,1257,co1vzu
11,Resident Evil 7: Biohazard,2017-01-24,19562,5,47,co545w
12,Dead Space 2,2011-01-25,38,4,440,co20xq
13,Outlast,2013-09-04,1910,3,1822,co1yat
14,The Evil Within,2014-10-14,4786,2,1839,co5wgs
15,The Evil Within 2,2017-10-12,36813,1,2178,co5wgu
