Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Alan Wake II,2023-10-17,185246,15,998,co6jar
2,Resident Evil 4,2023-03-24,132181,14,212,co4tg4
3,Dead Space,2023-01-27,159119,13,88,co5esn
4,The Last of Us Part I,2022-09-01,204350,12,163,co5xex
5,Bloodborne,2015-03-24,7334,11,346,co1rba
6,Inscryption,2021-10-19,139090,10,1041,co401c
7,A Plague Tale: Requiem,2022-10-18,152242,9,1433,co5pwb
8,Layers of Fear,2016-02-15,12482,8,1238,co1nhw
9,Dead by Daylight,2016-06-14,18866,7,2175,co5zky
10,Until Dawn,2015-08-25,7609,6,1244,co2s5q
11,Dredge,2023-03-30,164867,5,706,co69zw
12,Resident Evil Village,2021-05-06,55163,4,127,co2zpu
13,Returnal,2021-04-30,134584,3,164,co3wc1
14,Doki Doki Literature Club Plus!,2021-06-30,152122,2,1962,co395s
15,Phasmophobia,2020-09-18,132516,1,128,co2hby
