Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Last Clockwinder,2022-06-02,189856,15,84,co4tdy
2,Into the Radius,2020-02-13,115062,14,119,co5q1l
3,Compound,2018-05-15,28927,13,120,co5bc7
4,Sail,1970-01-01,207464,12,121,co5itv
5,Cards & Tankards,2021-04-20,143354,11,122,co6783
6,Arcaxer,2021-02-21,145565,10,123,co2xhw
7,Guardians Frontline,2023-03-09,144110,9,205,co6946
8,Shores of Loci,2022-05-24,187083,8,124,co5l5a
9,Mothergunship: Forge,2022-06-16,197579,7,125,co4unw
10,Rumble,2021-12-31,132991,6,126,co3yq7
