Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Cities: VR,2022-04-28,185895,15,147,co4auu
2,Hitman 3,2021-01-20,134595,14,135,co29lt
3,Jurassic World: Aftermath,2020-12-17,141986,13,149,co395c
4,Stride,2021-08-05,132959,12,206,co2465
5,Thumper,2016-10-10,10960,11,181,co1z4e
6,Subnautica,2018-01-23,9254,10,82,co1iqw
7,Microsoft Flight Simulator,2020-08-17,119295,9,208,co2dqk
8,Star Wars: Squadrons,2020-10-01,134706,8,137,co3wlz
9,Falcon Age,2019-04-09,107212,7,209,co1i50
10,Vader Immortal: A Star Wars VR Series,2019-05-21,125987,6,68,co31db
11,Pistol Whip,2019-11-07,119341,5,67,co1swl
12,Marvel's Iron Man VR,2020-07-03,116585,4,131,co1myi
13,Half-Life: Alyx,2020-03-23,126098,3,38,co1tq3
14,No Man's Sky,2016-08-09,3225,2,65,co5j66
15,Beat Saber,2019-05-21,83731,1,33,co20ux
