Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Half-Life: Alyx,2020-03-23,126098,15,38,co1tq3
2,The Walking Dead: Saints & Sinners,2020-01-23,105416,14,50,co1tgc
3,Astro Bot: Rescue Mission,2018-10-02,102129,13,32,co2eao
4,SuperHot VR,2016-12-06,25632,12,49,co24uu
5,Demeo,2021-05-06,144763,11,35,co2vf8
6,Pistol Whip,2019-11-07,119341,10,67,co1swl
7,Boneworks,2019-12-10,115789,9,66,co5xoo
8,Resident Evil 4 VR,2021-10-21,172560,8,46,co3zab
9,Asgard's Wrath,2019-10-10,115031,7,31,co3wl9
10,Lone Echo,2017-07-20,24917,6,40,co2olq
11,No Man's Sky,2016-08-09,3225,5,65,co5j66
12,Blade & Sorcery,2018-12-11,111474,4,64,co28vo
13,The Elder Scrolls V: Skyrim,2011-11-10,472,3,392,co1tnw
14,WipEout: Omega Collection,2017-06-06,26195,2,54,co2iv6
15,A Township Tale,2021-07-13,98115,1,62,co2pd5
