Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Journey,2012-03-13,1352,15,332,co1q8q
2,What Remains of Edith Finch,2017-04-24,11233,14,397,co1rbj
3,The Stanley Parable,2013-10-17,3035,13,643,co1rc9
4,Gone Home,2013-08-15,1906,12,785,qwhxxrcxzw7inwfrfkbq
5,The Forgotten City,2021-07-28,103320,11,723,co3muu
6,Amnesia: The Dark Descent,2010-09-08,111,10,1010,co1qq5
7,Soma,2015-09-21,9727,9,769,co2a20
8,Death Stranding,2019-11-08,19564,8,399,co5vq8
9,The Vanishing of Ethan Carter,2014-09-25,2939,7,1264,co1r7q
10,Firewatch,2016-02-09,9730,6,648,co1m35
11,Proteus,2013-01-30,2163,5,2141,co65k6
12,The Unfinished Swan,2012-10-23,8352,4,2142,co3sp2
13,Everybody's Gone to the Rapture,2015-08-11,7405,3,1255,co3way
14,That Dragon, Cancer,2016-01-11,15925,2,1236,co1lls
15,Before Your Eyes,2021-04-08,91477,1,975,co2x7h
