Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Gone Home,2013-08-15,1906,15,785,qwhxxrcxzw7inwfrfkbq
2,The Stanley Parable,2013-10-17,3035,14,643,co1rc9
3,Doors,2016-02-12,16987,13,2150,qfd5pgxnivjdneu3iaca
4,Murdered: Soul Suspect,2014-06-03,3188,12,2151,co1r7a
5,The Walking Dead: No Man's Land,2015-10-01,11670,11,2152,co2iwv
6,The Walking Dead: Season One - Episode 5: No Time Left,2012-11-20,114944,10,2153,co1v59
7,The Walking Dead: Season Two,2013-12-17,3097,9,2154,co2k36
8,The Walking Dead,2012-04-24,1871,8,437,co2j1g
9,Life is Strange: Before the Storm,2017-08-31,29004,7,2155,co1twj
10,Life is Strange: Episode 1 - Chrysalis,2015-01-29,93914,6,2156,co3h8p
11,Life is Strange,2015-01-29,7599,5,1573,co1r8e
12,Journey,2012-03-13,1352,4,332,co1q8q
13,Miasmata,2012-11-28,11062,3,2157,co1szx
14,The Vanishing of Ethan Carter,2014-09-25,2939,2,1264,co1r7q
15,Firewatch,2016-02-09,9730,1,648,co1m35
