Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Firewatch,2016-02-09,9730,15,648,co1m35
2,The Stanley Parable,2013-10-17,3035,14,643,co1rc9
3,Soma,2015-09-21,9727,13,769,co2a20
4,The Vanishing of Ethan Carter,2014-09-25,2939,12,1264,co1r7q
5,Everybody's Gone to the Rapture,2015-08-11,7405,11,1255,co3way
6,Journey,2012-03-13,1352,10,332,co1q8q
7,Gone Home,2013-08-15,1906,9,785,qwhxxrcxzw7inwfrfkbq
8,Dear Esther,2012-02-14,3082,8,646,co2eez
9,Abzu,2016-08-02,7352,7,2146,co28sy
10,Virginia,2016-09-22,21599,6,2145,co1uug
11,That Dragon, Cancer,2016-01-11,15925,5,1236,co1lls
12,The Old City: Leviathan,2014-12-03,14437,4,2147,co23vh
13,Proteus,2013-01-30,2163,3,2141,co65k6
14,Ether One,2014-03-25,5639,2,2148,co2mqh
15,Lifeless Planet,2014-06-06,8433,1,2149,co1t70
