Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Legend of Zelda: Tears of the Kingdom,2023-05-12,119388,15,21,co5vmg
2,Tomb Raider,1996-10-25,912,14,265,co3hfx
3,Uncharted 4: A Thief's End,2016-05-10,7331,13,355,co1r7h
4,Star Wars Jedi: Survivor,2023-04-28,201156,12,721,co5uzk
5,Control,2019-08-27,103329,11,350,co2evj
6,Ratchet & Clank: Rift Apart,2021-06-11,134582,10,162,co2str
7,Red Dead Redemption 2,2018-10-26,25076,9,352,co1q1f
8,Marvel's Spider-Man 2,2023-12-31,127044,8,991,co5vrx
9,Ghost of Tsushima,2020-07-17,75235,7,353,co2crj
10,God of War,2018-04-20,19560,6,345,co1tmu
11,Shadow of the Colossus,2005-10-18,2207,5,306,co1ozz
12,Raid: Shadow Legends,2018-07-29,109029,4,1308,co255q
