Position,Title,TotalScore,ListsAppeared
1,Street Fighter III: 3rd Strike (1999),42,3
2,Tekken 7 (2015),30,3
3,Super Smash Bros. Melee (2001),30,3
4,SoulCalibur II (2003),30,3
5,Dragon Ball FighterZ (2018),29,3
6,Super Street Fighter II Turbo (1994),27,2
7,Super Smash Bros. Ultimate (2018),25,2
8,Ultimate Marvel vs. Capcom 3 (2011),22,2
9,Mortal Kombat II (1993),22,2
10,Street Fighter IV (2008),22,1
11,SoulCalibur (1998),19,2
12,Mortal Kombat 11 (2019),18,2
13,Injustice 2 (2017),15,2
14,Street Fighter 30th Anniversary Collection (2018),14,1
15,Killer Instinct (2013),14,2
16,Guilty Gear: Strive (2021),14,1
17,Tekken 3 (1997),14,1
18,Street Fighter Alpha 2 Gold (1996),14,1
19,Mortal Kombat (2011),13,2
20,Marvel vs. Capcom 2: New Age of Heroes (2000),12,2
21,Virtua Fighter 4 (2001),12,1
22,Ultra Street Fighter IV (2014),12,1
23,SoulCalibur VI (2018),11,2
24,The King of Fighters XIII (2010),11,1
25,Super Smash Bros. Brawl (2008),11,1
26,Street Fighter Alpha 3 (1998),10,1
27,Super Street Fighter IV: Arcade Edition (2010),8,1
28,Virtua Fighter 5: Ultimate Showdown (2021),8,1
29,Ultimate Mortal Kombat 3 (1995),8,1
30,Skullgirls: 2nd Encore (2015),7,1
31,Skullgirls (2012),7,1
32,Virtua Fighter 4: Evolution (2002),7,1
33,Street Fighter V (2016),6,1
34,Capcom vs. SNK 2: Mark of the Millennium 2001 (2001),6,1
35,Super Street Fighter IV (2010),6,1
36,Mortal Kombat X (2015),6,1
37,Virtua Fighter 5 (2006),5,2
38,The King of Fighters 2002: Unlimited Match (2009),5,1
39,The King of Fighters XV (2022),4,1
40,Guilty Gear Xrd: Rev 2 (2017),4,2
41,Samurai Shodown (1993),2,1
42,Super Smash Bros. for Wii U (2014),2,1
43,Persona 4 Arena Ultimax (2013),1,1
