Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Sid Meier's Civilization II,1996-02-29,634,15,25,co5x8t
2,Super Mario 64,1996-06-23,1074,14,30,co21mm
3,Nights Into Dreams...,1996-07-05,5075,13,1203,co2n17
4,Phantasmagoria,1995-08-01,221,12,1367,co25eo
5,Quake,1996-06-22,333,11,1368,co1ybm
6,Metal Slug,1996-01-24,1404,10,1202,co20gf
7,Resident Evil,1996-03-22,424,9,341,co20bp
8,Super Mario RPG: Legend of the Seven Stars,1996-03-09,5418,8,570,co5r6p
9,Tetris Attack,1996-08-01,133313,7,1369,co2dp0
10,Duke Nukem 3D,1996-01-29,342,6,1205,co1y7x
