Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Half-Life,1998-11-19,231,15,1065,co1tnt
2,Grim Fandango,1998-10-28,181,14,1066,co25r3
3,Colin McRae Rally,1998-07-01,7967,13,1067,co47xw
4,Panzer Dragoon Saga,1998-01-29,1671,12,1068,co2icd
5,Resident Evil 2,1998-01-21,880,11,248,co2vz0
6,Tekken 3,1997-03-22,1244,10,242,co3tsh
7,F-1 World Grand Prix,1998-07-31,3487,9,1069,co3bao
8,Close Combat,1996-07-01,637,8,1070,co2ekc
9,NBA Jam 99,1998-12-04,249121,7,1071,
10,StarCraft,1998-03-31,230,6,516,co1x7n
11,Gex: Enter the Gecko,1998-01-31,3506,5,1072,co2q8n
12,FIFA 99,1998-06-10,699,4,1073,co1t9u
13,Caesar III,1998-10-01,6332,3,1074,co1y9b
14,Final Fantasy VII,1997-01-31,427,2,247,co2kx2
