Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Metroid Prime,2002-11-17,1105,15,427,co3w4w
2,Animal Crossing,2001-12-14,2655,14,541,co3wmn
3,NCAA Football 2003,2002-07-20,5955,13,1098,kkmcslrevflhoiibbl3p
4,Super Mario Sunshine,2002-07-19,1075,12,1094,co21rh
5,Metal Gear Solid 2: Substance,2002-11-04,474,11,469,co5eg1
6,The Legend of Zelda: A Link to the Past,2002-12-02,229416,10,1099,co5x34
7,Tony Hawk's Pro Skater 4,2002-10-23,210463,9,1096,co503f
8,Grand Theft Auto: Vice City,2002-10-27,733,8,308,co2lbb
9,Castlevania: Harmony of Dissonance,2002-06-06,1133,7,1100,co5otg
10,NBA 2K3,2002-10-08,4030,6,1101,co2gn4
