Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Resident Evil 4,2005-01-11,974,15,426,co2wk8
2,Shadow of the Colossus,2005-10-18,2207,14,306,co1ozz
3,Need for Speed: Most Wanted,2005-11-11,242992,13,1114,co6b1c
4,The Warriors,2005-10-17,6030,12,1022,co2yzp
5,Grand Theft Auto: Liberty City Stories,2005-10-25,3263,11,1115,co2lbg
6,The Incredible Hulk: Ultimate Destruction,2005-08-23,3954,10,1116,co2dzh
7,God of War,2005-03-22,549,9,314,co3ddc
8,Battlefield 2,2005-06-21,277,8,1117,co2nal
9,Animal Crossing: Wild World,2005-11-23,2645,7,1118,co3wms
10,King Kong: The Official Mobile Game of the Movie,2005-11-14,227627,6,1119,co5tjk
