Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Grand Theft Auto IV,2008-04-29,731,15,337,co2lbv
2,Gears of War 2,2008-11-07,548,14,1146,co28gg
3,LittleBigPlanet,2008-10-27,1058,13,1147,co4p0f
4,Fable II,2008-10-21,522,12,1148,co1y2h
5,Fallout 3,2008-10-28,15,11,483,co1ycw
6,Far Cry 2,2008-10-21,361,10,1149,co1vpo
7,Call of Duty: World at War,2008-11-05,135296,9,1150,co2adg
8,Guitar Hero World Tour,2008-10-26,2669,8,1151,co1wng
9,Metal Gear Solid 4: Guns of the Patriots,2008-06-12,380,7,335,co5eju
10,Braid,2008-08-06,2853,6,630,co25ni
