Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Portal 2,2011-04-18,72,15,325,co1rs4
2,Batman: Arkham City,2011-10-18,501,14,327,co1voh
3,The Legend of Zelda: Skyward Sword,2011-11-18,534,13,543,co5wrj
4,Uncharted 3: Drake's Deception,2011-11-01,512,12,487,co1tp8
5,The Elder Scrolls V: Skyrim,2011-11-10,472,11,392,co1tnw
6,Dead Space 2,2011-01-25,38,10,440,co20xq
7,Gears of War 3,2011-09-20,492,9,1409,co2a21
8,Resistance 3,2011-09-06,3206,8,1410,co2b3y
9,Child of Eden,2011-06-14,6936,7,1411,co1vgv
10,Deus Ex: Human Revolution,2011-08-23,43,6,1177,co1rd2
11,Dance Central 2,2011-10-21,20091,5,1412,co1wqu
12,Saints Row: The Third,2011-11-15,873,4,1178,co2634
13,Pokémon Black,2010-09-18,1521,3,1413,co1z1x
14,Rayman Origins,2011-11-15,981,2,1175,co1v7k
15,Mortal Kombat,2011-04-19,119,1,495,co20mc
