Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Uncharted 4: A Thief's End,2016-05-10,7331,15,355,co1r7h
2,Overwatch,2016-05-24,8173,14,404,co1rcb
3,Doom,2016-05-12,7351,13,1227,co1nc7
4,Dark Souls III,2016-03-24,11133,12,529,co1vcf
5,Titanfall 2,2016-10-28,17447,11,1228,fhbeilnghyhhmjqhinqa
6,The Witcher 3: Wild Hunt - Blood and Wine,2016-05-30,13166,10,1229,co2lgo
7,Battlefield 1,2016-10-21,18320,9,871,co2n9d
8,Forza Horizon 3,2016-09-27,19539,8,1019,co2e25
9,Dishonored 2,2016-11-11,11118,7,1230,co5pd0
10,Final Fantasy XV,2016-11-29,359,6,607,co1tr2
11,Inside,2016-06-29,7342,5,629,co2fca
12,The Last Guardian,2016-12-06,117,4,407,co271e
13,XCOM 2,2016-02-04,10919,3,961,co1mvj
14,Firewatch,2016-02-09,9730,2,648,co1m35
15,Deus Ex: Mankind Divided,2016-08-23,9498,1,1231,co25jt
