Position,Title,TotalScore,ListsAppeared
1,Marvel's Spider-Man: Miles Morales (2020),36,3
2,Hades (2019),30,2
3,The Last of Us Part II (2020),29,2
4,Animal Crossing: New Horizons (2020),28,3
5,Half-Life: Alyx (2020),24,3
6,Final Fantasy VII Remake (2020),23,3
7,Ghost of Tsushima (2020),19,2
8,Assassin's Creed Valhalla (2020),19,2
9,Crusader Kings III (2020),16,2
10,Demon's Souls (2020),13,1
11,Microsoft Flight Simulator (2020),13,1
12,Persona 5 Royal (2019),12,1
13,Doom Eternal (2020),12,2
14,Kentucky Route Zero (2013),11,1
15,Call of Duty: Warzone (2020),9,1
16,Fall Guys (2020),8,1
17,Star Wars: Squadrons (2020),7,1
18,Blaseball (2020),7,1
19,Cyberpunk 2077 (2020),6,2
20,Astro's Playroom (2020),6,1
21,If Found... (2020),6,2
22,Among Us (2018),6,1
23,Spelunky 2 (2020),5,1
24,Ori and the Will of the Wisps (2020),4,1
25,Tony Hawk's Pro Skater 1+2 (2020),3,1
26,Valorant (2020),3,1
27,Resident Evil 3 (2020),2,1
28,Umurangi Generation (2020),2,1
29,13 Sentinels: Aegis Rim (2019),1,1
