Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Deathloop,2021-09-14,113598,15,161,co4nzt
2,Halo Infinite,2021-11-15,103281,14,361,co2dto
3,Metroid Dread,2021-10-07,15698,13,93,co39zx
4,Forza Horizon 5,2021-11-09,141503,12,360,co3ofx
5,Final Fantasy VII Remake Intergrade,2021-06-10,144024,11,357,co4vor
6,Resident Evil Village,2021-05-06,55163,10,127,co2zpu
7,Persona 5 Strikers,2020-02-20,117731,9,1724,co2zoq
8,Super Mario 3D World,2013-11-21,2180,8,585,co21vd
9,Ratchet & Clank: Rift Apart,2021-06-11,134582,7,162,co2str
10,Chorus,2021-12-03,133305,6,1725,co25ie
11,Tales of Arise,2021-09-10,119270,5,615,co5ls2
12,Returnal,2021-04-30,134584,4,164,co3wc1
13,Disco Elysium: The Final Cut,2021-03-30,141540,3,431,co2ve1
14,Hitman 3,2021-01-20,134595,2,135,co29lt
15,Mass Effect Legendary Edition,2021-05-14,140839,1,367,co2k5h
