Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Inscryption,2021-10-19,139090,15,1041,co401c
2,Halo Infinite,2021-11-15,103281,14,361,co2dto
3,Chicory: A Colorful Tale,2021-06-10,117266,13,1042,co4s6f
4,Metroid Dread,2021-10-07,15698,12,93,co39zx
5,Resident Evil Village,2021-05-06,55163,11,127,co2zpu
6,Hitman 3,2021-01-20,134595,10,135,co29lt
7,Death's Door,2021-07-20,145099,9,598,co45xc
8,Wildermyth,2019-11-13,83504,8,1045,co26ab
9,Psychonauts 2,2021-08-24,14741,7,362,co1sod
10,Unsighted,2021-09-30,111815,6,1044,co3bt4
11,Outer Wilds: Echoes of the Eye,2021-09-28,146761,5,1714,co3wbp
12,Forza Horizon 5,2021-11-09,141503,4,360,co3ofx
13,Unpacking,2021-11-02,115843,3,1043,co1t45
14,Monster Hunter Rise,2021-03-26,138950,2,591,co3uzk
15,Overboard!,2021-06-02,151067,1,1716,co31ra
