Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Elden Ring,2022-02-25,119133,15,10,co4jni
2,Tunic,2022-03-16,23733,14,268,td1t8kb33gyo8mvhl2pc
3,Norco,2022-03-24,129097,13,155,co3nu3
4,Kirby and the Forgotten Land,2022-03-25,172427,12,269,co3vlw
5,Citizen Sleeper,2022-05-05,152271,11,250,co4zl5
6,Rollerdrome,2022-08-16,203366,10,277,co4tg1
7,Mothmen 1966,2022-07-14,176071,9,278,co55b2
8,Roadwarden,2022-09-12,118875,8,279,co63e0
9,Pentiment,2022-11-15,204623,7,254,co4v1e
10,Signalis,2022-10-27,103244,6,260,co62ig
11,OlliOlli World,2022-02-08,145782,5,280,co2xvs
12,Saturnalia,2022-10-27,142101,4,281,co5p66
13,Xenoblade Chronicles 3,2022-07-29,191411,3,89,co4ocq
14,The Excavation of Hob's Barrow,2022-09-28,210665,2,282,co5esg
15,Strange Horticulture,2022-01-21,186597,1,259,co4bsb
