Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Elden Ring,2022-02-25,119133,15,10,co4jni
2,Total War: Warhammer III,2022-02-17,143114,14,276,co2rze
3,Vampire Survivors,2021-12-17,186725,13,252,co4bzv
4,Tunic,2022-03-16,23733,12,268,td1t8kb33gyo8mvhl2pc
5,Call of Duty: Modern Warfare 2,2009-11-10,559,11,292,co3cwt
6,Marvel Snap,2022-10-18,202279,10,255,co5kkd
7,Sniper Elite 5,2022-05-25,116238,9,293,co4ehj
8,God of War Ragnarök,2022-11-09,112875,8,143,co5s5v
9,Sifu,2022-02-08,144022,7,284,co4h5s
10,Immortality,2022-08-30,152288,6,271,co55cl
11,Mario + Rabbids Sparks of Hope,2022-10-20,152201,5,262,co52q4
12,Neon White,2022-06-16,143612,4,261,co2tgh
13,As Dusk Falls,2022-07-19,135995,3,294,co4v2t
14,Hardspace: Shipbreaker,2020-06-16,130216,2,295,co2m8b
15,Pentiment,2022-11-15,204623,1,254,co4v1e
