Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Legend of Zelda: Tears of the Kingdom,2023-05-12,119388,15,21,co5vmg
2,Baldur's Gate 3,2020-10-06,119171,14,989,co670h
3,Sea of Stars,2023-08-28,131890,13,1908,co215b
4,Lies of P,2023-08-01,148241,12,990,co30p9
5,Marvel's Spider-Man 2,2023-12-31,127044,11,991,co5vrx
6,Alan Wake II,2023-10-17,185246,10,998,co6jar
7,Resident Evil 4,2023-03-24,132181,9,212,co4tg4
8,Street Fighter 6,2023-06-02,191692,8,844,co5vst
9,Starfield,2023-09-06,96437,7,985,co39vv
10,Hogwarts Legacy,2023-02-10,136625,6,20,co2gn3
